B 1
R Y 262
R Y 1234
R Y 1026
R Y 1593
R Y 625
R Y 1188
R Y 419
M Y 813
R Y 1919
R Y 96
R Y 44
R Y 890
M Y 449
R Y 447
R Y 1630
R Y 1372
R Y 1897
R Y 646
R Y 375
R Y 1418
R Y 1919
R Y 1559
R Y 420
R Y 660
R Y 957
R Y 1191
R Y 656
R Y 763
R Y 1150
R Y 1620
R Y 905
R Y 1332
R Y 915
R Y 784
R Y 87
D Y
R Y 841
R Y 1556
R Y 1518
R Y 1360
R Y 575
R Y 778
R Y 220
R Y 1116
R Y 1157
R Y 1682
R Y 409
R Y 985
D Y
R Y 431
R Y 1395
R Y 757
R Y 333
R Y 358
R Y 1811
R Y 445
R Y 1224
R Y 1426
R Y 655
R Y 1095
R Y 885
R Y 1186
R Y 1500
R Y 1270
R Y 1762
R Y 351
R Y 1897
R Y 1589
R Y 352
R Y 1349
R Y 1128
R Y 672
R Y 1129
R Y 650
R Y 42
D Y
R Y 1303
R Y 171
R Y 1753
R Y 1906
R Y 933
R Y 635
R Y 1007
R Y 1977
R Y 817
R Y 1540
R Y 540
R Y 1459
R Y 385
R Y 199
R Y 1958
R Y 95
R Y 1166
R Y 1649
R Y 247
R Y 1952
R Y 1417
R Y 1372
R Y 1224
R Y 408
R Y 762
R Y 1458
R Y 703
R Y 854
R Y 436
R Y 1849
C
